Country Name,Country Code,Year,Secondary Completion Rate (%),Education Expenditure (% of GDP),Primary Enrolment Rate(%),GDP per Capita,Life Expectancy (Years),Infant Mortality Rate (per 1000 live births)
Australia,AUS,2000,80.95999908447266,4.884079933166504,95.29357147216797,21870.42,79.23,6.2
Australia,AUS,2001,81.48999786376953,,99.52427673339844,19695.73,79.63,6.1
Australia,AUS,2002,82.0199966430664,,99.66871643066406,20301.84,79.94,6.0
Australia,AUS,2003,82.5999984741211,,98.6156997680664,23718.13,80.24,5.9
Australia,AUS,2004,83.0999984741211,,98.88044738769531,30836.73,80.49,5.8
Australia,AUS,2005,83.5199966430664,4.896739959716797,99.4273681640625,34479.77,80.84,5.7
Australia,AUS,2006,83.83999633789062,4.738430023193359,99.5180435180664,36595.71,81.04,5.6
Australia,AUS,2007,84.08999633789062,4.653649806976318,99.73845672607422,41051.61,81.29,5.4
Australia,AUS,2008,84.38999938964844,4.630519866943359,99.70258331298828,49701.28,81.4,5.2
Australia,AUS,2009,84.80000305175781,5.081319808959961,99.69539642333984,42816.57,81.54,5.0
Australia,AUS,2010,85.0199966430664,5.538119792938232,99.67649841308594,52144.67,81.7,4.8
Australia,AUS,2011,85.02999877929688,5.068140029907227,97.2943115234375,62605.6,81.9,4.5
Australia,AUS,2012,85.0199966430664,4.86667013168335,97.69554138183594,68072.87,82.05,4.3
Australia,AUS,2013,85.19000244140625,5.229090213775635,99.95172882080078,68190.7,82.15,4.1
Australia,AUS,2014,85.02999877929688,5.164549827575684,99.92803955078125,62544.09,82.3,4.0
Australia,AUS,2015,85.79000091552734,5.3155198097229,99.97187042236328,56739.03,82.4,3.9
Australia,AUS,2016,87.30000305175781,5.286890029907227,99.99221801757812,49888.04,82.45,3.8
Australia,AUS,2017,86.41000366210938,5.138229846954346,99.94220733642578,53901.71,82.5,3.8
Australia,AUS,2018,90.30999755859375,5.12431001663208,99.808349609375,57196.42,82.75,3.8
Australia,AUS,2019,87.33999633789062,5.1342902183532715,99.78595733642578,54972.7,82.9,3.8
Australia,AUS,2020,87.69999694824219,5.608449935913086,99.41915130615234,51791.54,83.2,3.8
Australia,AUS,2021,88.01000213623047,5.730000019073486,99.63218688964844,60607.78,83.3,3.7
Australia,AUS,2022,88.25,5.2067766189575195,99.7035903930664,64997.01,83.2,3.7
Australia,AUS,2023,88.48999786376953,,,64835.92,83.05,3.7
Brazil,BRA,2000,,3.948930025100708,,3766.55,69.58,34.5
Brazil,BRA,2001,37.11000061035156,3.844680070877075,,3176.29,69.98,32.2
Brazil,BRA,2002,41.189998626708984,3.7503700256347656,,2855.94,70.4,30.1
Brazil,BRA,2003,44.130001068115234,,,3090.61,70.88,28.1
Brazil,BRA,2004,45.849998474121094,3.974479913711548,,3663.82,71.36,26.3
Brazil,BRA,2005,47.52000045776367,4.4790802001953125,,4827.78,71.83,24.6
Brazil,BRA,2006,50.400001525878906,4.87060022354126,,5934.14,72.3,23.1
Brazil,BRA,2007,51.130001068115234,4.974259853363037,,7409.69,72.73,21.7
Brazil,BRA,2008,54.279998779296875,5.2688398361206055,,8908.33,73.11,20.5
Brazil,BRA,2009,56.810001373291016,5.463550090789795,,8678.66,73.46,19.5
