STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,AFG,Afghanistan,WB_WDI_SH_DYN_MORT,"Mortality rate, under-5 (per 1,000 live births)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DT_10P3BR_L,Deaths per 1 000 live births,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,353.2,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality rate, under-5 (per 1,000 live births)",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,DZA,Algeria,WB_WDI_SH_DYN_MORT,"Mortality rate, under-5 (per 1,000 live births)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DT_10P3BR_L,Deaths per 1 000 live births,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,239.6,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality rate, under-5 (per 1,000 live births)",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,ATG,Antigua and Barbuda,WB_WDI_SH_DYN_MORT,"Mortality rate, under-5 (per 1,000 live births)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DT_10P3BR_L,Deaths per 1 000 live births,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,82.5,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality rate, under-5 (per 1,000 live births)",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,AUS,Australia,WB_WDI_SH_DYN_MORT,"Mortality rate, under-5 (per 1,000 live births)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DT_10P3BR_L,Deaths per 1 000 live births,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,24.9,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality rate, under-5 (per 1,000 live births)",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,AUT,Austria,WB_WDI_SH_DYN_MORT,"Mortality rate, under-5 (per 1,000 live births)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DT_10P3BR_L,Deaths per 1 000 live births,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,42.8,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality rate, under-5 (per 1,000 live births)",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,BHR,Bahrain,WB_WDI_SH_DYN_MORT,"Mortality rate, under-5 (per 1,000 live births)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DT_10P3BR_L,Deaths per 1 000 live births,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,198.0,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality rate, under-5 (per 1,000 live births)",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,BGD,Bangladesh,WB_WDI_SH_DYN_MORT,"Mortality rate, under-5 (per 1,000 live births)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DT_10P3BR_L,Deaths per 1 000 live births,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,261.7,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality rate, under-5 (per 1,000 live births)",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,BRB,Barbados,WB_WDI_SH_DYN_MORT,"Mortality rate, under-5 (per 1,000 live births)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DT_10P3BR_L,Deaths per 1 000 live births,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,84.7,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality rate, under-5 (per 1,000 live births)",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,BLR,Belarus,WB_WDI_SH_DYN_MORT,"Mortality rate, under-5 (per 1,000 live births)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DT_10P3BR_L,Deaths per 1 000 live births,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,44.9,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality rate, under-5 (per 1,000 live births)",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,BEL,Belgium,WB_WDI_SH_DYN_MORT,"Mortality rate, under-5 (per 1,000 live births)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,DT_10P3BR_L,Deaths per 1 000 live births,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1960,33.9,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Mortality rate, under-5 (per 1,000 live births)",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
